time	geo	champ	r	rb
2024-01-01	DE	md	NA	NA
2024-01-01	DE	mdhfi	NA	NA
2024-01-01	DE	mdhi	NA	NA
2024-01-01	DE	mdhifi	NA	NA
2024-01-01	DE	mdhim	NA	NA
2024-01-01	DE	mdhimfi	NA	NA
2024-01-01	DE	tb	NA	NA
2024-01-01	FR	md	0.025355020134407505	0.034101706246827256
2024-01-01	FR	mdhfi	0.0300144891187013	0.036895724455101996
2024-01-01	FR	mdhi	0.02063089693376027	0.052213488106635265
2024-01-01	FR	mdhifi	0.039357732218935806	0.06518441051975868
2024-01-01	FR	mdhim	0.023652376147833325	0.041954260529829306
2024-01-01	FR	mdhimfi	0.02118339851018512	0.03508401696038795
2024-01-01	FR	tb	0.02859264842157007	0.03631470738013664
2024-01-01	IT	md	NA	NA
2024-01-01	IT	mdhfi	NA	NA
2024-01-01	IT	mdhi	NA	NA
2024-01-01	IT	mdhifi	NA	NA
2024-01-01	IT	mdhim	NA	NA
2024-01-01	IT	mdhimfi	NA	NA
2024-01-01	IT	tb	NA	NA
2024-01-01	ES	md	NA	NA
2024-01-01	ES	mdhfi	NA	NA
2024-01-01	ES	mdhi	NA	NA
2024-01-01	ES	mdhifi	NA	NA
2024-01-01	ES	mdhim	NA	NA
2024-01-01	ES	mdhimfi	NA	NA
2024-01-01	ES	tb	NA	NA
2024-01-01	NL	md	NA	NA
2024-01-01	NL	mdhfi	NA	NA
2024-01-01	NL	mdhi	NA	NA
2024-01-01	NL	mdhifi	NA	NA
2024-01-01	NL	mdhim	NA	NA
2024-01-01	NL	mdhimfi	NA	NA
2024-01-01	NL	tb	NA	NA
2024-01-01	BE	md	0.036638002231241	0.05016050834568008
2024-01-01	BE	mdhfi	0.035006973236174785	0.045414251139628714
2024-01-01	BE	mdhi	0.04874038864595077	0.07788271137997811
2024-01-01	BE	mdhifi	0.04599694546173824	0.06894025519306038
2024-01-01	BE	mdhim	0.05217222862357894	0.07730107711145177
2024-01-01	BE	mdhimfi	0.039499994155758854	0.05920261986717368
2024-01-01	BE	tb	0.038856443691106406	0.05099550825836359
2023-01-01	DE	md	0.03548884272424984	0.04496346601385717
2023-01-01	DE	mdhfi	0.03495392762804384	0.04343138015765845
2023-01-01	DE	mdhi	0.08905065353312004	0.11675060727152768
2023-01-01	DE	mdhifi	0.09034492684733214	0.11601678046901116
2023-01-01	DE	mdhim	0.07117061360134275	0.09181700827013363
2023-01-01	DE	mdhimfi	0.06641916720752082	0.08529242548251659
2023-01-01	DE	tb	0.03243413652979793	0.04059434347297278
2023-01-01	FR	md	0.025975107573765734	0.03493570438968994
2023-01-01	FR	mdhfi	0.03145927894568187	0.038671752264237545
2023-01-01	FR	mdhi	0.023348147682688995	0.0590904135315192
2023-01-01	FR	mdhifi	0.04621982700006737	0.0765494353324324
2023-01-01	FR	mdhim	0.025605664479097533	0.045418976591654704
2023-01-01	FR	mdhimfi	0.02482077337497809	0.04110824963421165
2023-01-01	FR	tb	0.02894434924740558	0.03676139256953428
2023-01-01	IT	md	0.06408070564613025	0.07348535303866206
2023-01-01	IT	mdhfi	0.06033252253922209	0.06791719023340388
2023-01-01	IT	mdhi	0.1137278549052152	0.13747360786458557
2023-01-01	IT	mdhifi	0.1061146407778075	0.12575232960850807
2023-01-01	IT	mdhim	0.10325431682306162	0.12259358379486922
2023-01-01	IT	mdhimfi	0.08575269005047216	0.10162217451805629
2023-01-01	IT	tb	0.06215085082564809	0.07040302700529569
2023-01-01	ES	md	0.057624537197886516	0.0659625256203849
2023-01-01	ES	mdhfi	0.05093292623780705	0.05802369635171565
2023-01-01	ES	mdhi	0.07074585109432105	0.08671432728616618
2023-01-01	ES	mdhifi	0.05810990901817003	0.07185621708036813
2023-01-01	ES	mdhim	0.06650587607656969	0.07923583996201279
2023-01-01	ES	mdhimfi	0.04608511158334385	0.056986869159789774
2023-01-01	ES	tb	0.05292168778726469	0.06000675413721737
2023-01-01	NL	md	0.0628647545151965	0.08312799083933815
2023-01-01	NL	mdhfi	0.05975244121912053	0.07762833297156779
2023-01-01	NL	mdhi	0.12972272044506322	0.18074023318236376
2023-01-01	NL	mdhifi	0.12588179472187172	0.1726330426931843
2023-01-01	NL	mdhim	0.09855255597616355	0.13598449877457236
2023-01-01	NL	mdhimfi	0.09080568246048024	0.12453001080592425
2023-01-01	NL	tb	0.050354689282150686	0.06663057160629773
2023-01-01	BE	md	0.037095532177751175	0.05078690534613533
2023-01-01	BE	mdhfi	0.036014466395429316	0.04672126351819567
2023-01-01	BE	mdhi	0.048391374854701845	0.07732501906100786
2023-01-01	BE	mdhifi	0.046651572179444864	0.06992141019198157
2023-01-01	BE	mdhim	0.05216639976707155	0.07729244077564176
2023-01-01	BE	mdhimfi	0.040226571660071896	0.06029161475720492
2023-01-01	BE	tb	0.039178135543417335	0.05141769922472125
2022-01-01	DE	md	0.03415097081138925	0.04409136337872557
2022-01-01	DE	mdhfi	0.03350936472269194	0.04300716374192244
2022-01-01	DE	mdhi	0.08373150843921513	0.11245053362312178
2022-01-01	DE	mdhifi	0.08449181971250383	0.1129018099778715
2022-01-01	DE	mdhim	0.0676802065397904	0.08915773484557411
2022-01-01	DE	mdhimfi	0.06233774628533889	0.08329853007668794
