time	geo	champ	rh	rbh
2024-01-01	DE	md	NA	NA
2024-01-01	DE	mdhfi	NA	NA
2024-01-01	DE	mdhi	NA	NA
2024-01-01	DE	mdhifi	NA	NA
2024-01-01	DE	mdhim	NA	NA
2024-01-01	DE	mdhimfi	NA	NA
2024-01-01	DE	tb	NA	NA
2024-01-01	FR	md	0.03180269910342878	0.040862155003725496
2024-01-01	FR	mdhfi	0.0359160529588474	0.04343689311606603
2024-01-01	FR	mdhi	0.04228891709166504	0.07809896982224764
2024-01-01	FR	mdhifi	0.06020227245474456	0.09155364001804712
2024-01-01	FR	mdhim	0.03343379299258256	0.05333362230456569
2024-01-01	FR	mdhimfi	0.029058380067035816	0.04593253605850333
2024-01-01	FR	tb	0.028748920673544752	0.036649032899604285
2024-01-01	IT	md	NA	NA
2024-01-01	IT	mdhfi	NA	NA
2024-01-01	IT	mdhi	NA	NA
2024-01-01	IT	mdhifi	NA	NA
2024-01-01	IT	mdhim	NA	NA
2024-01-01	IT	mdhimfi	NA	NA
2024-01-01	IT	tb	NA	NA
2024-01-01	ES	md	NA	NA
2024-01-01	ES	mdhfi	NA	NA
2024-01-01	ES	mdhi	NA	NA
2024-01-01	ES	mdhifi	NA	NA
2024-01-01	ES	mdhim	NA	NA
2024-01-01	ES	mdhimfi	NA	NA
2024-01-01	ES	tb	NA	NA
2024-01-01	NL	md	NA	NA
2024-01-01	NL	mdhfi	NA	NA
2024-01-01	NL	mdhi	NA	NA
2024-01-01	NL	mdhifi	NA	NA
2024-01-01	NL	mdhim	NA	NA
2024-01-01	NL	mdhimfi	NA	NA
2024-01-01	NL	tb	NA	NA
2024-01-01	BE	md	0.045389509134027	0.060900852571562476
2024-01-01	BE	mdhfi	0.04417347079346292	0.05630546719634273
2024-01-01	BE	mdhi	0.06756564640092032	0.10057619876031491
2024-01-01	BE	mdhifi	0.06605508256085585	0.09258263278803389
2024-01-01	BE	mdhim	0.06852073225998073	0.09706715166799691
2024-01-01	BE	mdhimfi	0.05672497051532198	0.07950557188833615
2024-01-01	BE	tb	0.04316720094848366	0.057047922072130754
2023-01-01	DE	md	0.029408156454976898	0.03888277974458423
2023-01-01	DE	mdhfi	0.028594530952196134	0.03707198348181074
2023-01-01	DE	mdhi	0.07159640219326444	0.09929635593167209
2023-01-01	DE	mdhifi	0.07142787038351403	0.09709972400519305
2023-01-01	DE	mdhim	0.05792003416034097	0.07856642882913185
2023-01-01	DE	mdhimfi	0.05251185464233775	0.07138511291733352
2023-01-01	DE	tb	0.024335469965064825	0.03249567690823967
2023-01-01	FR	md	0.0321062349406413	0.041080892295113164
2023-01-01	FR	mdhfi	0.03718437824716801	0.04460025264513746
2023-01-01	FR	mdhi	0.04698949987457498	0.082787850771876
2023-01-01	FR	mdhifi	0.06942117257525814	0.10060611510444142
2023-01-01	FR	mdhim	0.03566083826842851	0.05550524047960729
2023-01-01	FR	mdhimfi	0.033905842517588526	0.05065264668082017
2023-01-01	FR	tb	0.028770420870026157	0.036599730321433675
2023-01-01	IT	md	0.062279877060682026	0.07175215426358726
2023-01-01	IT	mdhfi	0.05770091551888471	0.065353479217807
2023-01-01	IT	mdhi	0.10926485321087004	0.1331813643818764
2023-01-01	IT	mdhifi	0.09938850551257408	0.11920198590959005
2023-01-01	IT	mdhim	0.0995511790730913	0.11902951675148409
2023-01-01	IT	mdhimfi	0.08031720830724282	0.09632875233973935
2023-01-01	IT	tb	0.05657106153600196	0.06488257998409447
2023-01-01	ES	md	0.05285522470882847	0.06119321313132687
2023-01-01	ES	mdhfi	0.04591538900328409	0.05300615911719269
2023-01-01	ES	mdhi	0.061514318296712424	0.07748279448855755
2023-01-01	ES	mdhifi	0.048282711461272096	0.06202901952347019
2023-01-01	ES	mdhim	0.05922436251866175	0.07195432640410485
2023-01-01	ES	mdhimfi	0.038291475289409974	0.0491932328658559
2023-01-01	ES	tb	0.043327559546955156	0.05041262589690784
2023-01-01	NL	md	0.06677577259933687	0.08703900892347852
2023-01-01	NL	mdhfi	0.06361755357621962	0.08149344532866688
2023-01-01	NL	mdhi	0.1393860522616314	0.19040356499893193
2023-01-01	NL	mdhifi	0.1357949260119056	0.1825461739832182
2023-01-01	NL	mdhim	0.10578050774047765	0.14321245053888645
2023-01-01	NL	mdhimfi	0.09795658664087215	0.13168091498631615
2023-01-01	NL	tb	0.05301052777641588	0.06928641010056294
2023-01-01	BE	md	0.04747813107047518	0.061182463975960465
2023-01-01	BE	mdhfi	0.046516098750416755	0.05726575928427511
2023-01-01	BE	mdhi	0.07018091002684905	0.09914194172874663
2023-01-01	BE	mdhifi	0.06931556195840036	0.09267855804812285
2023-01-01	BE	mdhim	0.07122026692456922	0.09637009129525065
2023-01-01	BE	mdhimfi	0.05976920583838995	0.07991457699077507
2023-01-01	BE	tb	0.044764866935904805	0.05701601612624361
2022-01-01	DE	md	0.026799093623857326	0.036739486191193646
2022-01-01	DE	mdhfi	0.025896538337852895	0.035394337357083396
2022-01-01	DE	mdhi	0.06283332546352065	0.0915523506474273
2022-01-01	DE	mdhifi	0.06208099385076668	0.09049098411613435
2022-01-01	DE	mdhim	0.051795506883690806	0.07327303518947452
2022-01-01	DE	mdhimfi	0.045803123390867895	0.06676390718221695
