type;thematique_fr;thematique_en;title_fr;title_en;date_publication;date_mise_a_jour;lien;piece_jointe;sheet_index;row_index
archive;Part des sociétés d'assurances dans l'UE (archive);Part des sociétés d'assurances dans l'UE (archive);Part_des_societes_d_assurances_dans_l_UE_archive.csv;Part_des_societes_d_assurances_dans_l_UE_archive.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/e755e81fd8ea1db60b59539692e99ebb;1;105
archive;Part des sociétés d'assurances dans l'UE (archive);Part des sociétés d'assurances dans l'UE (archive);Part_des_societes_d_assurances_dans_l_UE_archive.xml;Part_des_societes_d_assurances_dans_l_UE_archive.xml;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/812b7a3a4e25467aaa9526fd0db7c34d;1;106
archive;Placement des assurances - annuel (Archive);Placement des assurances - annuel (Archive);Placement_assurances_annuel_Archive.csv;Placement_assurances_annuel_Archive.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/9674de9ac32b5d1988d88ce596368ceb;1;107
archive;Placement des assurances - trimestriel (Archive);Placement des assurances - trimestriel (Archive);Placement_assurances_trim_Archive.csv;Placement_assurances_trim_Archive.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/5ed6dbb07994761b5d0c1b004dc88dfc;1;108
archive;Placements des IFM françaises (hors Banque de France) en titres émis par les non-IFM par zones de résidence des contreparties et par devises (Archive);Placements des IFM françaises (hors Banque de France) en titres émis par les non-IFM par zones de résidence des contreparties et par devises (Archive);tmf_trim_ifm_fr_plaifmtinifm.csv;tmf_trim_ifm_fr_plaifmtinifm.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/9cefb1b048b9b2f5b4e8309fcdc802b4;1;113
archive;Seuil de l'usure (archive);Seuil de l'usure (archive);Seuil_de_l_usure_archive.xml;Seuil_de_l_usure_archive.xml;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/9a50619c9155cb998d448d3994db426d;1;118
archive;Situation mensuelle de la Banque de France (archive);Situation mensuelle de la Banque de France (archive);Situation_mensuelle_de_la_Banque_de_France_archive.csv;Situation_mensuelle_de_la_Banque_de_France_archive.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/973cd97c46652a762c64e0b77bc93438;1;119
archive;T4M (archive);T4M (archive);T4M_Observations.pdf;T4M_Observations.pdf;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/2ed6df6648151739ac9d5e699a38bd0f;1;121
archive;Taux de change mensuel (Archive);Taux de change mensuel (Archive);Taux_de_change_mensuel_Archive.csv;Taux_de_change_mensuel_Archive.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/5d42808d47cbd8fffe6df929abb71413;1;123
archive;Taux d'intermédiation financière;Taux d'intermédiation financière;tif_trim_fr_tif.csv;tif_trim_fr_tif.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/3392ca2a7b8165f9f4f30713a52f235a;1;132
